Name,36C1,36C2,36C3,36LP1,36LP2,36PM2,36PM3,NPC,NPLP,NPPHI,NPPM,WTC1,WTC2,WTC3
Lactic_C18P,52078193.05,12293473.86,145402541.9,42524921.99,28319783.67,64370119.53,33758719.26,510287.8778,524970.2383,522471.4976,487695.4171,57549732.4,36229374.53,88142757.16
Lactic_HILN,1553659468,2349209837,1536310831,3753785152,6064145283,1201909093,624617114.5,24237604.01,35081449.96,36376926.11,32451973.12,2171658708,2835395198,2643433818
Fumaric_HILN,85647405.03,1568175361,682647282.4,4421919712,10809137906,704653587.4,398816120.4,1217846.943,10806545.26,9963618.345,18186553.15,895168262.3,144487482.8,2106074663
Butanoic_HILN,13893542.06,33042716.11,42946855.92,91827703.61,74949742.42,47386986.08,22713881.62,308366.0217,284823.6272,320826.1656,317128.5978,35640068.16,29378620.03,67268285.25
Caffeic_HILN,622160.1464,3492544.63,464983.5051,19171739.99,12309237.64,2878721.693,1296106.095,10772.37629,9038.202535,75027.85283,88795.93778,9035328.212,875851.3539,4900082.657
Glutaric_HILN,118824478.6,302357602.8,266144631.3,750413179.3,803487585.6,166704452.1,88091348.26,1816970.471,1948866.018,2852623.238,2628258.801,341927891.1,263655221.3,442276422.2
Mugineic_C18N,NA,2887176241,2987806347,11261188705,2794636381,1446935098,1414462613,76195662.3,45663381.25,42640104.59,95396718.5,1382616784,1703119142,1502299044
Salicylic_HILN,202478393.6,1337970266,326395016.8,1729482388,1507910038,369699159.4,147878090.8,8353343.761,1166263.004,9382744.51,7585797.494,634590672.4,368430109,1123132144
Glycolic_HILN,79130804.89,285347730.4,507795443,580325330.4,864938019,159150363.6,62989842.52,1056561.687,1976210.02,2099890.099,2631556.85,200073832.3,165255765.4,395099204
Sinapinic_HILN,14202031.18,22661797.01,18053895.28,69051967.97,96955002.58,29251864.93,14144108.12,93704.77146,356691.472,316389.4434,617332.3161,24733300.14,15234608.6,29919408.77
Sinapinic_C18N,NA,174158425.9,48480878.93,464188446.8,136356970.2,140555247.4,105919477.1,4442699.866,2593250.3,1085355.613,3044868.389,73797401.72,71800438.84,36228606.59
Gallic_C18N,NA,353480255.6,570266551.3,1921718277,607565862.1,198774473.5,236048926.2,26654290.09,7268013.58,12110889.39,22329010.83,541220389.9,868483477.1,810319435.2
Gallic_HILN,28629671.08,61466890.17,70921168.4,207947782.7,173072840.5,70984724.02,46406424.58,302480.8648,513466.5983,509222.974,999473.6417,64357388.53,71097007.12,111528309
Benzoic_C18P,86204487.17,68865462.7,111619223.6,95430872.6,82314680.35,44441446,32341081.27,714521.1457,808605.5422,647729.9282,628299.971,60320371.09,85028268.18,152266449.9
Benzoic_HILN,118543761.8,105135865,127607714.2,174707428,133922668,72408020.57,47958918.69,2403938.813,1066290.536,870371.5364,1457344.364,94474781.42,130450536.8,202305920.8
