Region,Site,Date,TN,TP,PhytoCHLa,PeriCHLa,DOC,Temp
IBP,IBP-B,06/18/2010,0.56498141,16.2489,,2.37673478,10.7376823,3.64
IBP,IBP-C,06/18/2010,0.49141451,13.05618,0.27125333,1.71653067,10.6584122,4.08
IBP,IBP-D,06/18/2010,0.56707974,44.98338,0.14816,1.98061232,15.4035519,3.5
IBP,IBP-E,06/18/2010,0.59472848,60.1488,,3.92821443,12.7674161,3.5
IBP,IBP-J,06/18/2010,0.54057468,55.35972,0.12512,6.94,11.1762775,2.86
BEO,PRP,06/20/2010,1.27456146,71.32332,0.84528,4.29792873,7.7552662,5.11
BEO,WL02,06/20/2010,0.58075545,26.944512,1.47136,3.23500012,,9.52
BEO,WL03,06/20/2010,0.70380455,26.944512,1.46832,5.54571448,,8.6
BRW,AHMA,06/21/2010,1.30548831,70.046232,7.0624,18.9247507,20.5019678,5.19
BRW,BOXER,06/21/2010,1.71328893,84.413472,5.05952,17.4293884,27.4105943,6.03
BEO,ITEX-N,06/21/2010,0.69225377,20.559072,1.03296,2.97091847,19.7950551,10.82
BEO,ITEX-S,06/21/2010,0.78838744,71.32332,0.84528,6.95194923,,10.86
BRW,KIGNAK,06/21/2010,0.82980973,18.962712,1.03296,4.96803589,16.6581115,7.56
BRW,UTIQ,06/21/2010,1.29368912,50.889912,10.94496,25.3122254,23.5115362,5.94
BRW,Airport 1,07/02/2010,2.11002321,76.1124,,9.12732176,,12.08
BRW,Airport 3,07/02/2010,1.35521937,178.27944,5.25632,12.3392147,22.5190964,10.3
IBP,IBP-B,07/02/2010,0.75996929,6.67074,2.31664,3.66413278,18.4480782,6.23
IBP,IBP-C,07/02/2010,0.82312814,66.53424,1.47136,0.80214799,23.1118381,6.56
IBP,IBP-D,07/02/2010,0.866189,14.65254,2.09744,0.89127554,24.2855352,6.22
IBP,IBP-E,07/02/2010,0.95465984,23.43252,1.47136,1.73303578,20.9978423,6.14
IBP,IBP-J,07/02/2010,0.75914952,8.2671,0.56554667,2.00536997,22.4125237,5.76
BRW,AHMA,07/07/2010,1.43490933,68.92878,19.03728,4.83269405,26.2381044,7.31
BRW,BOXER,07/07/2010,1.93573936,71.642592,2.93968,4.53890322,41.2123581,6.92
BEO,ITEX-N,07/07/2010,1.05661926,25.02888,2.53584,1.18836739,25.9165956,6.92
BEO,ITEX-S,07/07/2010,1.10820168,18.64344,2.22976,0.94079085,32.1226188,6.97
BRW,KIGNAK,07/07/2010,0.64761416,39.39612,0.87984,0.5314643,10.677967,8.94
BRW,UTIQ,07/07/2010,1.71341336,79.30512,3.78496,1.07283167,28.0542102,8.03
BEO,PRP,07/08/2010,0.74527623,6.67074,1.83173333,2.15391589,13.5764342,9.3
BEO,WL02,07/08/2010,0.91529978,167.424192,2.09744,0.78564289,22.5616055,8.19
BEO,WL03,07/08/2010,1.00822945,12.577272,2.93968,2.83227561,24.5369167,8.75
BRW,AHMA,07/27/2010,1.67407705,80.1033,1.30618182,4.04375015,31.3523135,15.19
BRW,BOXER,07/27/2010,1.57538434,55.6949556,3.36306667,1.48545924,37.3226129,12.19
BRW,UTIQ,07/27/2010,0.35980776,27.42342,2.97146667,7.26224516,36.6041842,14.86
BEO,ITEX-N,07/28/2010,1.16963361,30.61614,3.4644,2.97091847,27.6431143,18.5
BEO,ITEX-S,07/28/2010,1.4532671,17.84526,3.47484444,0.92428575,38.887224,18.4
BRW,KIGNAK,07/28/2010,0.70442578,5.07438,2.0556,3.06994909,12.5387171,15.32
BEO,PRP,07/29/2010,0.78818892,6.67074,2.8176,2.25294651,15.9596838,15.42
BEO,WL02,07/29/2010,1.29226095,8.2671,2.41074286,2.66062254,26.7665272,15.1
BEO,WL03,07/29/2010,1.30778612,9.86346,3.24523077,3.75491085,28.3518615,15.3
BRW,Airport 1,07/30/2010,1.66150798,116.0214,1.02353846,10.5137504,30.4176604,13.34
BRW,Airport 3,07/30/2010,1.69100617,184.66488,1.46670769,12.2550387,33.0156867,13.47
IBP,IBP-B,07/30/2010,0.9664842,56.95608,1.5800381,0.80875003,25.2254489,12.95
IBP,IBP-C,07/30/2010,,50.57064,1.77413333,1.38642862,27.1205702,12.85
IBP,IBP-D,07/30/2010,1.04776429,48.97428,1.10106667,0.26408164,24.8730436,13.07
IBP,IBP-E,07/30/2010,1.22459387,72.91968,2.94272,0,24.0509708,12.4
IBP,IBP-J,07/30/2010,0.88421146,52.167,1.87824,2.37673478,18.7203671,12.2
BRW,AHMA,08/14/2010,1.63100384,70.0621956,12.8778,7.87293396,38.2630075,11.81
BRW,BOXER,08/14/2010,1.84395242,60.94698,3.29848,4.88551038,38.5823422,9.05
BEO,PRP,08/14/2010,1.00217479,11.45982,3.31053333,10.1919009,12.8419049,10.55
BEO,WL02,08/14/2010,1.31000888,21.83616,4.408,0,18.893109,9.78
BEO,WL03,08/14/2010,1.38651953,15.769992,3.77934546,7.08068903,26.8244989,9.6
BEO,ITEX-N,08/15/2010,1.20349184,15.7859556,9.4976,,18.913657,6.53
BEO,ITEX-S,08/15/2010,1.68540461,29.81796,9.19474286,2.34,42.1297884,7.43
BRW,Airport 1,08/16/2010,1.39207074,40.1943,2.344,7.84322477,34.3151683,13.37
BRW,Airport 3,08/16/2010,1.82270031,113.62686,1.1936,12.5768882,41.0322468,10.49
BRW,KIGNAK,08/16/2010,0.85892322,13.05618,0.828,10.1357835,18.4947058,9.8
BRW,UTIQ,08/16/2010,1.60290865,23.7677556,1.79864,32.1849501,32.1521906,9.51
IBP,IBP-B,08/19/2010,1.0172345,37.79976,1.81568,3.69714299,24.4473114,6.86
IBP,IBP-C,08/19/2010,0.95166671,55.35972,2.57427692,1.93109701,22.9718585,6.75
IBP,IBP-D,08/19/2010,1.04555292,50.57064,1.66752,2.4757654,29.3511582,7.23
IBP,IBP-E,08/19/2010,1.14983484,63.34152,2.0944,2.78936235,,6.68
IBP,IBP-J,08/19/2010,0.90794661,48.97428,2.37717333,0.92428575,,6.39
BRW,AHMA,06/15/2011,1.76250322,126.792588,4.31392,14.0421745,19.00077,7.02
BRW,AHMA-2,06/15/2011,1.65719852,141.414468,0,8.5564286,22.10821,6.26
BRW,BOXER,06/15/2011,3.08124786,153.947508,2.24896,41.7450724,34.27889,6.2
BRW,BOXER-2,06/15/2011,1.64769368,102.35316,2.74669474,7.62902522,21.90375,6.1
BRW,UTIQ,06/15/2011,2.12158143,55.518992,3.60168421,3.1469729,21.47685,7.59
IBP,IBP-B,06/16/2011,0.72666066,53.683188,1.078,1.22302811,13.80086,8.25
IBP,IBP-C,06/16/2011,0.70176744,76.660428,1.1582,2.78936235,12.77535,9.1
IBP,IBP-D,06/16/2011,0.81453382,26.76831,,5.04469293,14.66797,6.7
IBP,IBP-E,06/16/2011,0.90209996,82.926948,1.39104,4.05291965,13.56241,8.07
IBP,IBP-J,06/16/2011,0.73592672,68.305068,1.272,4.95648232,10.36181,7.77
BEO,PRP,06/17/2011,3.98672374,49.230872,4.64586667,0,8.934825,4.84
BEO,WL02,06/17/2011,0.85783438,18.172908,2.84764444,0,17.98911,5.75
BEO,WL03,06/17/2011,1.39499831,32.462552,3.21694118,0.42913267,18.53134,7.57
BEO,ITEX-N,06/21/2011,1.34577024,114.259548,1.30341818,3.24233572,26.56345,12.82
BEO,ITEX-S,06/21/2011,1.2647555,34.883628,2.9258,1.48527585,26.59906,11.4
BRW,AHMA,07/05/2011,2.24631684,67.469532,1.41930667,1.28739801,31.5887,9.12
BRW,AHMA-2,07/05/2011,1.8285497,68.93172,1.30453333,0,28.09799,9.02
BRW,BOXER,07/05/2011,2.3007803,79.37592,2.12693333,35.0529868,37.36505,7.89
BRW,BOXER-2,07/05/2011,2.09650777,181.039763,1.42631111,0.67230785,30.07808,8.4
BEO,PRP,07/05/2011,1.3338802,38.9986428,1.68853333,0,13.78346,9.07
BRW,UTIQ,07/05/2011,2.52242782,112.108043,2.20303158,108.355999,30.16227,9.89
BEO,WL02,07/05/2011,0.83704095,29.870412,1.1568,9.1226138,23.22754,6.31
BEO,WL03,07/05/2011,1.32145693,28.5544428,1.27114667,0,25.35729,7.06
IBP,IBP-B,07/06/2011,1.36617675,4.17768,1.1568,4.45582754,18.65786,9.28
