Dia ,Tratamiento,Long_Raiz ,Cant_sem_germi ,Peso_sem_gr
Dia2,Control ,0.6,10,19.5
Dia2,Control ,0.2,10,18.2
Dia2,Control ,1.1,10,18.5
Dia2,Control ,0.4,10,20.1
Dia2,Control ,2.2,10,20.5
Dia2,Control ,1.6,10,20.2
Dia2,Control ,4.7,10,20.2
Dia2,Control ,1.2,10,21.5
Dia2,Control ,5.5,10,22.1
Dia2,Control ,7.4,10,22.1
Dia7,Control ,28.4,10,20
Dia7,Control ,2,10,19
Dia7,Control ,31.5,10,19.4
Dia7,Control ,1.3,10,20.4
Dia7,Control ,30.5,10,19.2
Dia7,Control ,14,10,19.7
Dia7,Control ,31.3,10,19
Dia7,Control ,15.2,10,22
Dia7,Control ,34.3,10,21.6
Dia7,Control ,24.6,10,21.4
Dia2,ECAP15,6.2,10,21.8
Dia2,ECAP15,0.3,10,23.1
Dia2,ECAP15,4.6,10,22.1
Dia2,ECAP15,4.1,10,23.3
Dia2,ECAP15,8.2,10,23
Dia2,ECAP15,7.1,10,23
Dia2,ECAP15,8.2,10,22.5
Dia2,ECAP15,3.7,10,21.9
Dia2,ECAP15,5.8,10,20
Dia2,ECAP15,4.8,10,20.3
Dia7,ECAP15,33.9,10,22.1
Dia7,ECAP15,1.8,10,22
Dia7,ECAP15,27.6,10,22
Dia7,ECAP15,28.1,10,21.6
Dia7,ECAP15,29.5,10,24
Dia7,ECAP15,25.3,10,24.5
Dia7,ECAP15,29.2,10,19.9
Dia7,ECAP15,22.7,10,19.8
Dia7,ECAP15,25.5,10,20.3
Dia7,ECAP15,21.4,10,20.2
